lat,lon
22.2,88.0
21.9,89.3
20.1,80.1
19.0,87.1
21.8,89.6
16.6,86.7
13.9,96.1
17.7,86.8
13.1,85.2
11.0,91.9
12.7,95.1
16.9,83.9
20.4,88.5
22.0,90.1
21.0,89.8
21.6,88.3
20.7,91.7
20.6,88.5
19.1,92.3
23.1,89.1
24.8,85.6
20.1,89.1
15.1,84.1
7.2,87.5
13.9,83.3
7.9,87.2
8.8,91.8
16.0,91.0
21.0,89.5
20.7,90.1
21.4,89.4
21.6,90.2
18.4,89.9
20.7,91.9
22.8,89.3
17.4,86.5
17.3,90.3
10.9,84.8
14.3,94.7
10.7,82.3
20.0,89.0
21.2,86.8
21.2,89.4
19.5,89.7
19.9,90.0
21.6,89.2
23.0,85.3
19.1,89.2
13.2,84.3
14.7,80.7
14.2,86.6
8.4,85.9
14.8,91.9
21.7,90.8
18.7,87.3
22.3,87.2
20.9,91.0
20.0,89.5
23.1,84.4
18.9,89.0
21.1,90.5
19.4,89.0
21.4,88.6
13.4,85.4
11.9,84.0
13.2,90.3
10.7,86.3
10.2,87.0
11.7,92.5
22.9,84.7
19.5,89.1
17.3,88.1
15.6,84.7
17.8,90.4
17.6,89.2
17.6,89.3
7.3,91.6
6.7,86.4
5.0,89.3
5.2,89.8
7.6,86.5
8.7,87.7
20.0,91.4
23.0,88.2
16.8,86.9
20.3,88.5
19.7,90.1
19.9,90.6
19.9,89.9
22.7,89.4
19.6,89.0
15.8,91.6
12.2,85.2
9.1,88.1
8.3,88.5
9.2,85.7
11.2,81.3
11.2,81.8
10.7,86.3
5.9,89.1
12.8,96.4
21.1,90.0
18.7,90.2
18.9,90.6
19.5,90.1
16.9,87.4
18.5,89.4
21.6,89.1
16.9,88.4
20.8,89.8
8.5,92.3
14.0,87.0
11.6,96.6
7.8,92.1
8.5,86.1
10.9,87.2
12.8,93.3
14.6,93.2
20.5,89.1
20.1,88.3
19.5,90.4
17.8,86.5
20.8,88.7
16.8,86.0
17.1,88.3
20.0,90.3
15.7,95.2
8.5,91.0
11.2,89.1
10.9,84.4
19.9,91.2
20.7,93.1
20.0,88.1
18.8,85.9
19.8,87.7
18.4,87.0
20.1,87.6
15.9,92.4
17.9,89.4
9.8,95.1
5.4,83.1
7.7,93.3
18.9,91.0
20.2,89.1
19.5,88.0
21.3,89.4
24.7,87.0
20.6,89.3
15.1,84.6
20.7,89.9
18.7,88.2
11.8,82.1
10.9,83.5
7.4,85.5
17.8,88.3
20.0,87.9
18.3,85.9
16.7,89.4
19.6,87.2
20.3,87.4
20.1,87.7
19.9,89.8
20.4,88.5
21.8,87.4
18.7,87.2
11.3,85.2
8.0,90.0
10.4,92.5
12.2,83.6
20.9,89.7
20.5,88.7
20.5,88.7
22.0,86.8
21.2,90.7
21.1,88.9
19.2,88.9
13.8,84.0
14.3,85.2
14.6,92.5
13.5,88.5
6.8,92.2
9.3,80.6
8.4,96.8
12.9,91.2
17.1,86.5
19.8,89.6
20.2,90.2
22.0,88.2
21.9,88.5
15.7,91.6
10.8,83.5
11.1,91.7
10.4,91.1
19.4,88.3
19.6,87.9
18.1,86.5
18.5,86.5
18.2,86.3
17.7,88.1
20.1,87.9
19.9,88.5
22.0,80.1
14.1,88.0
8.5,88.1
17.5,85.4
10.0,82.4
11.0,83.5
10.0,84.5
17.3,86.8
20.0,89.3
17.9,87.1
21.2,90.2
19.3,87.3
18.1,89.9
13.2,91.2
12.0,85.3
16.1,85.6
8.9,91.7
9.1,83.9
6.7,91.6
8.1,90.9
21.5,89.9
21.3,87.9
21.5,87.5
16.6,86.0
18.6,87.6
19.2,87.9
20.8,88.0
17.6,88.2
20.8,90.1
6.0,91.4
8.7,84.5
19.5,91.0
15.4,86.9
18.8,90.1
6.8,82.8
12.6,82.7
16.4,87.8
19.7,88.4
21.3,87.9
19.0,88.0
20.3,89.8
20.6,89.5
10.0,86.4
13.1,82.4
18.6,90.3
15.8,85.0
7.5,92.6
10.2,85.3
17.5,89.3
19.4,88.6
21.0,90.3
16.4,87.6
23.5,88.8
18.4,86.3
21.5,86.0
16.7,91.6
8.8,82.6
9.9,80.5
9.4,90.5
19.7,88.6
19.9,88.9
20.9,89.1
19.4,90.0
19.9,89.7
21.3,86.5
7.5,90.0
10.0,81.3
10.0,81.8
10.9,84.0
10.2,87.8
9.5,81.9
11.0,95.9
14.5,95.4
20.7,90.4
17.1,92.5
21.5,88.0
21.8,88.5
18.6,93.7
20.8,89.6
20.1,89.5
20.5,92.2
9.5,82.3
16.6,91.9
18.6,87.9
17.4,86.7
16.5,86.1
17.2,86.3
19.3,92.1
8.1,84.9
10.4,94.2
9.7,89.7
5.4,85.1
8.5,90.0
19.6,88.0
14.2,96.3
21.6,88.9
19.6,89.0
15.5,97.3
14.8,96.0
9.3,91.8
10.2,92.3
5.1,89.6
12.1,85.9
20.7,89.8
19.3,88.3
19.5,89.8
20.5,87.9
21.9,87.7
20.6,89.3
17.2,85.7
20.7,91.3
16.0,90.8
7.5,95.6
13.6,85.6
5.0,93.0
13.6,85.4
14.9,88.8
19.0,87.3
20.9,89.7
20.3,87.3
18.6,90.9
14.8,84.4
17.7,90.8
12.6,83.2
12.1,85.8
7.8,87.9
7.8,87.8
13.6,96.4
14.9,88.0
20.6,90.3
21.4,88.3
20.0,88.3
20.6,88.4
19.5,88.4
9.4,90.0
11.7,86.3
8.8,95.5
7.9,84.2
9.2,87.0
10.0,95.9
8.0,87.9
7.7,90.4
7.8,87.9
6.2,82.8
11.0,91.5
19.7,87.6
20.4,88.4
18.8,90.3
21.0,90.3
21.3,90.0
20.1,89.1
18.3,89.3
8.6,90.2
9.7,85.4
6.1,84.6
13.6,96.0
21.1,89.7
22.8,87.9
17.7,88.6
21.7,90.0
21.9,90.6
18.7,90.3
18.9,91.4
13.9,88.8
10.7,88.5
10.6,87.3
8.4,89.4
14.8,87.4
14.8,88.1
18.7,89.6
21.2,89.8
20.9,89.9
17.3,86.8
17.2,87.8
20.6,93.4
18.2,87.0
10.7,82.6
12.3,94.6
10.5,81.3
10.0,88.6
19.3,90.7
21.2,89.7
20.0,88.1
18.3,91.4
18.1,85.7
22.3,87.3
20.3,90.7
16.6,84.6
13.9,85.0
12.1,86.3
8.6,84.6
9.8,92.5
19.6,88.0
19.5,89.0
20.0,89.1
22.0,88.6
21.3,88.3
22.9,81.6
15.2,84.1
19.3,88.5
15.7,89.2
11.5,90.7
10.5,92.4
9.0,90.9
21.6,87.5
20.6,91.4
22.2,89.0
21.6,89.5
23.7,85.6
15.2,96.9
17.0,91.5
11.8,87.4
9.5,90.5
13.7,91.4
10.0,88.9
7.5,83.5
19.3,86.5
19.9,88.5
20.9,88.2
21.0,88.0
22.2,88.1
12.0,90.0
7.1,90.8
12.5,89.5
7.4,88.2
7.1,88.3
21.6,88.5
18.1,86.3
18.9,87.0
21.9,89.3
16.0,92.0
17.0,85.3
16.6,85.8
10.6,88.3
7.6,92.4
12.5,96.0
15.7,87.4
19.3,86.6
18.5,86.5
24.1,85.7
18.9,87.6
20.0,88.6
18.8,86.3
22.5,87.8
14.5,83.2
10.8,84.9
14.8,84.8
11.4,89.0
8.8,84.9
12.3,92.5
22.9,89.2
19.4,87.6
20.2,89.3
20.6,82.7
17.2,92.7
9.3,85.9
12.8,87.5
10.6,87.4
8.0,90.4
7.5,88.5
7.6,84.4
13.0,92.2
8.5,91.6
6.0,92.5
11.1,91.0
12.5,90.3
10.1,81.8
7.7,91.6
7.0,89.9
10.2,86.5
5.9,94.5
8.4,87.7
8.8,92.3
10.0,88.0
9.4,84.7
8.9,92.0
6.5,83.1
12.5,91.8
10.6,88.8
11.4,82.7
13.1,87.3
23.0,90.0
18.0,88.0
23.0,90.0
20.0,88.5
21.0,88.0
19.0,88.5
18.0,89.0
22.0,91.5
13.4,91.4
9.4,84.0
7.0,88.0
7.5,84.0
18.0,87.0
23.0,87.5
25.0,82.5
18.2,88.6
19.0,91.0
9.6,91.2
7.5,81.0
20.0,88.5
19.5,90.5
16.8,88.6
8.8,88.0
8.4,85.8
16.0,89.0
20.0,88.0
20.5,88.0
18.5,88.0
17.5,90.0
14.0,83.5
